ano_eje;sec_ejec;pliego;ejecutora;origen;fuente_financ_agregada;fuente_financ;tipo_recurso;tipo_transaccion;generica;subgenerica;subgenerica_det;especifica;especifica_det;presupuesto;modificacion;pim;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12;total_prog;saldo;porcentaje
2017;301280;;;;5;;;1;4; 1; 4; 1; 5;5491;0;5491;457.61;457.61;457.61;0;457.61;457.61;0;1649.4;549.8;549.8;549.8;549.8;6136.65;-645.65;111.76
2017;301280;;;;5;;;1;4; 1; 4; 1; 6;0;0;0;0;0;0;0;0.02;0;0;0;1.89;0;0;0;1.91;-1.91;0
2017;301280;;;;5;;;1;4; 1; 4; 2; 1;2475;0;2475;648.61;0;0;0;599.48;0;0;624.92;0;643.98;0;0;2516.99;-41.99;101.7
2017;301280;;;;5;;;1;4; 1; 4; 5; 1;1760191;0;1760191;141799.51;0;266772.41;0;123167.76;122032.67;143175.03;270362.99;157774.18;143954.71;160579.8;151414.21;1681033.27;79157.73;95.5
2017;301280;;;;5;;;1;4; 1; 4; 6; 3;0;289920;289920;0;0;0;0;0;190923;0;0;0;98997;0;0;289920;0;100
2017;301280;;;;5;;;1;5; 1; 1; 1; 1;0;0;0;0;0;0;0;60501.76;67279.07;25780.71;37283;32884.41;40507.77;20575.13;25279.46;310091.31;-310091.31;0
2017;301280;;;;5;;;1;9; 1; 1; 1; 1;0;17792752;17792752;17821174.93;-39993.88;-1564.63;-125881.52;-10803.63;-361475.2;-1734.06;-6116.12;-29.37;-363.4;-147.4;-23907.08;17249158.64;543593.36;96.94
2018;301280;;;1;2;09;0;1;1; 5; 3; 1; 1;644630;0;644630;26134.83;25058.25;43067.01;35387.51;26097.95;21402.04;83000.95;24734.78;17138.41;26300.14;32592.24;23603.6;384517.71;260112.29;59.65
2018;301280;;;1;2;09;0;1;1; 5; 3; 1;99;0;0;0;0;0;0;202.98;0;0;21.69;0;0;0;0;0;224.67;-224.67;0
2018;301280;;;1;2;09;0;1;1; 5; 3; 2; 1;3711959;0;3711959;6464.65;5183.08;17622.84;13476.42;283410.85;597911.25;326271.65;432209.33;381525.21;344031.63;393766.16;357078.31;3158951.38;553007.62;85.1
2018;301280;;;1;2;09;0;1;3; 1; 9; 1; 2;5003;0;5003;460;100;109;65;30;870;0;100;1000;60;30;510;3334;1669;66.64
2018;301280;;;1;2;09;0;1;3; 2; 1; 1; 1;332049;0;332049;17924.7;18883.7;23519.9;10621.9;17414;12897.6;19647.8;23500.7;15430.9;29492.2;15462.2;13470.2;218265.8;113783.2;65.73
2018;301280;;;1;2;09;0;1;3; 2; 3; 1; 1;11891;0;11891;1394;979;1026;985;931;713;936;987;1026;901;642;544;11064;827;93.05
2018;301280;;;1;2;09;0;1;3; 2; 3; 1;99;0;0;0;618;0;0;0;0;0;0;0;0;0;0;0;618;-618;0
2018;301280;;;1;2;09;0;1;3; 2; 4; 1; 4;40788;0;40788;3193;3296;2369;1957;1751;1648;2884;2369;2266;1854;2163;1442;27192;13596;66.67
2018;301280;;;1;2;09;0;1;3; 2; 4; 1; 6;504960;0;504960;48293.3;36951;41480.1;38949.9;40938.9;31192.7;40999.8;37333;37735.8;36409.8;32615.5;27184;450083.8;54876.2;89.13
2018;301280;;;1;2;09;0;1;3; 2; 4; 1; 7;10200;0;10200;954.3;826.1;761.1;614;941;439.1;781.2;928.9;745.6;949.9;665.1;533.5;9139.8;1060.2;89.61
2018;301280;;;1;2;09;0;1;3; 2; 5; 2; 1;355187;0;355187;59272;46289.4;39509.1;55284;62443.8;52613.5;61064.3;51702.7;43624;58756.6;53367.4;63637.3;647564.1;-292377.1;182.32
2018;301280;;;1;2;09;0;1;3; 2; 5; 2;99;180324;0;180324;22462.9;26045.2;33102.3;34855.7;33454.9;34803.2;31016.9;38947.4;38163;41166.8;36944.5;31452.6;402415.4;-222091.4;223.16
2018;301280;;;1;2;09;0;1;3; 2; 8; 1; 6;1174789;0;1174789;0;0;0;0;0;0;185.5;2117.5;2205;1249.5;500.5;1358;7616;1167173;0.65
